data,godzina,temp,wilgotnosc_wzgledna,PM1,PM2.5,PM10,szerokosc,latitude,dlugosc,longitude,szerokosc_stopnie,dlugosc_stopnie
170917,193731,13.4,83.4,0.25,0.25,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193810,13.4,83.25,1,0.25,1,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193849,13.4,83.3,0,0,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,193928,13.43,83.35,0.75,0.5,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194006,13.4,83.3,0.75,0.25,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194045,13.35,83.5,1,0,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194124,13.43,83.65,1,1.25,3.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194202,13.45,83.6,1.5,1,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194241,13.43,83.63,0,0.25,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194320,13.4,83.95,0.25,0.75,0.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194358,13.43,83.88,1,0.25,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194437,13.4,83.78,1.25,0.5,0.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,194515,13.4,83.8,0.25,0,5.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
